field1,field2,_GC_TYPE,_X,_Y
광교더샵레이크시티,경기도 수원시 영통구 광교호수공원로 20 (원천동),정,127.05970063937357,37.27254242686967
수원인계,경기도 수원시 팔달구 권광로 199 (인계동),정,127.03290645603109,37.26554047058569
수원망포DT,경기도 수원시 영통구 덕영대로 1467,정,127.05135132850151,37.24587572814954
수원나혜석거리,경기도 수원시 팔달구 권광로188번길 17 (인계동),정,127.03415511956568,37.26423205853817
수원트레이더스,경기도 수원시 영통구 삼성로 2 트레이더스수원점 (신동),정,127.04859492371953,37.24607257400407
수원망포역,경기도 수원시 영통구 영통로 195 (망포동),정,127.05580012560758,37.24518129716635
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),정,127.04305965133808,37.501119790966975
수원이비스,경기도 수원시 팔달구 권광로 132 (인계동),정,127.03152405650457,37.259044965363834
수원KBS DT,경기도 수원시 팔달구 권광로 265 (인계동),정,127.03519403291746,37.27109755439177
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),정,127.06311675574072,37.51502701949391
수원영통,"경기도 수원시 영통구 봉영로 1617, 훼미리타워 1층 (영통동)",정,127.07431665956013,37.25553155757078
영통R,경기도 수원시 영통구 덕영대로 1566 (영통동),정,127.06189917407045,37.245130104454795
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),정,127.02061873657053,37.513932882847506
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),정,127.02226956024005,37.51022147518994
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),정,127.0316752536348,37.49960058296491
대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),정,127.06266124952505,37.49457349632732
수서역R,서울특별시 강남구 광평로 281 (수서동),정,127.10306847226238,37.4881163975912
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),정,127.0591588162209,37.51182421143046
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),정,127.0286164297286,37.52283441359757
압구정R,서울특별시 강남구 언주로 861 (신사동),정,127.0331146972006,37.527402321678636
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,정,127.0591588162209,37.51182421143046
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),정,127.06057925122434,37.50759041635317
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),정,127.05038578390531,37.50535905120963
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),정,127.03662183715026,37.48525421246234
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),정,127.04851613537295,37.511366682517284
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),정,127.02666566001966,37.50211794055506
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),정,127.0564592539314,37.5221842177888
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),정,127.0413618853448,37.49291534622231
강남구청정문,서울특별시 강남구 학동로 419 (청담동),정,127.04597561661315,37.51830460443148
학동사거리,서울특별시 강남구 도산대로 328 (논현동),정,127.03796971947764,37.52240627475407
강남R,서울특별시 강남구 강남대로 390 (역삼동),정,127.02857911307395,37.49784053295626
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),정,127.06017706626629,37.49899986744078
신사가로수,서울특별시 강남구 가로수길 59,정,127.02252556793188,37.52189777523352
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),정,127.04183508292886,37.52525519454815
압구정,서울특별시 강남구 압구정로30길 17 (신사동),정,127.02955369457233,37.52632999994504
강남우성,서울특별시 강남구 강남대로 328 (역삼동),정,127.03092139662228,37.49242817941184
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,정,127.05743790610634,37.507566970952325
대치사거리,서울특별시 강남구 삼성로 402 (대치동),정,127.05883730453598,37.50337277481414
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),정,127.05741048372877,37.492182461532614
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호,정,127.0591588162209,37.51182421143046
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,정,127.02065968813761,37.51619905837235
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",정,127.02864474738345,37.51916060157134
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,정,127.0468734310986,37.52377027026712
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,정,127.03575276503666,37.51491722693731
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",정,127.05523257517717,37.49662159458535
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",정,127.03924225891048,37.50188824387489
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),정,127.03300850459492,37.494154439913345
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",정,127.05159256162901,37.52434622092192
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",정,127.02164362080653,37.52319756582201
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",정,127.03380356413636,37.49937464808095
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",정,127.05500640975845,37.489932647318874
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",정,127.02557083019357,37.50313749144069
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",정,127.06518857541228,37.50782379943842
