,,총인구수 (명),남자인구수 (명),여자인구수 (명)
서울특별시,　　　종로구,"139,606","67,466","72,140"
서울특별시,　　　중구,"121,300","58,720","62,580"
서울특별시,　　　용산구,"215,397","103,398","111,999"
서울특별시,　　　성동구,"278,035","134,979","143,056"
서울특별시,　　　광진구,"336,294","161,662","174,632"
서울특별시,　　　동대문구,"341,521","167,569","173,952"
서울특별시,　　　중랑구,"382,390","187,618","194,772"
서울특별시,　　　성북구,"426,892","204,851","222,041"
서울특별시,　　　강북구,"289,372","140,185","149,187"
서울특별시,　　　도봉구,"307,470","149,132","158,338"
서울특별시,　　　노원구,"499,553","239,787","259,766"
서울특별시,　　　은평구,"467,124","221,903","245,221"
서울특별시,　　　서대문구,"306,927","145,820","161,107"
서울특별시,　　　마포구,"363,953","170,141","193,812"
서울특별시,　　　양천구,"437,199","213,482","223,717"
서울특별시,　　　강서구,"563,663","270,136","293,527"
서울특별시,　　　구로구,"393,459","192,957","200,502"
서울특별시,　　　금천구,"228,274","114,845","113,429"
서울특별시,　　　영등포구,"375,276","184,010","191,266"
서울특별시,　　　동작구,"379,640","183,620","196,020"
서울특별시,　　　관악구,"483,959","243,673","240,286"
서울특별시,　　　서초구,"407,788","194,384","213,404"
서울특별시,　　　강남구,"541,565","258,897","282,668"
서울특별시,　　　송파구,"655,300","314,985","340,315"
서울특별시,　　　강동구,"458,292","223,930","234,362"
부산광역시,　　　중구,"38,831","18,810","20,021"
부산광역시,　　　서구,"104,268","50,129","54,139"
부산광역시,　　　동구,"88,008","42,895","45,113"
부산광역시,　　　영도구,"106,816","52,462","54,354"
부산광역시,　　　부산진구,"359,329","172,612","186,717"
부산광역시,　　　동래구,"271,670","131,356","140,314"
부산광역시,　　　남구,"254,455","124,031","130,424"
부산광역시,　　　북구,"274,481","135,020","139,461"
부산광역시,　　　해운대구,"381,466","182,767","198,699"
부산광역시,　　　사하구,"298,815","148,309","150,506"
부산광역시,　　　금정구,"216,770","105,792","110,978"
부산광역시,　　　강서구,"142,777","74,003","68,774"
부산광역시,　　　연제구,"203,004","97,058","105,946"
부산광역시,　　　수영구,"174,994","82,136","92,858"
부산광역시,　　　사상구,"203,445","102,097","101,348"
부산광역시,　　　기장군,"179,084","88,679","90,405"
대구광역시,　　　중구,"87,387","41,785","45,602"
대구광역시,　　　동구,"342,627","167,902","174,725"
대구광역시,　　　서구,"161,149","80,039","81,110"
대구광역시,　　　남구,"140,132","66,999","73,133"
대구광역시,　　　북구,"422,571","209,725","212,846"
대구광역시,　　　수성구,"406,802","196,099","210,703"
대구광역시,　　　달서구,"530,737","260,446","270,291"
대구광역시,　　　달성군,"262,525","133,188","129,337"
대구광역시,　　　군위군,"23,048","11,904","11,144"
인천광역시,　　　중구,"158,181","81,978","76,203"
인천광역시,　　　동구,"59,806","29,986","29,820"
인천광역시,　　　미추홀구,"405,499","203,998","201,501"
인천광역시,　　　연수구,"390,896","193,805","197,091"
인천광역시,　　　남동구,"495,110","245,981","249,129"
인천광역시,　　　부평구,"487,885","240,207","247,678"
인천광역시,　　　계양구,"282,158","140,417","141,741"
인천광역시,　　　서구,"621,152","313,053","308,099"
인천광역시,　　　강화군,"69,137","34,634","34,503"
인천광역시,　　　옹진군,"20,452","11,685","8,767"
광주광역시,　　　동구,"106,957","52,674","54,283"
광주광역시,　　　서구,"284,870","139,391","145,479"
광주광역시,　　　남구,"210,027","100,600","109,427"
광주광역시,　　　북구,"422,567","209,037","213,530"
광주광역시,　　　광산구,"397,339","200,419","196,920"
대전광역시,　　　동구,"218,465","109,994","108,471"
대전광역시,　　　중구,"224,143","110,048","114,095"
대전광역시,　　　서구,"465,978","228,648","237,330"
대전광역시,　　　유성구,"365,082","184,938","180,144"
대전광역시,　　　대덕구,"170,297","86,579","83,718"
울산광역시,　　　중구,"207,179","104,767","102,412"
울산광역시,　　　남구,"308,438","157,314","151,124"
울산광역시,　　　동구,"152,419","79,474","72,945"
울산광역시,　　　북구,"216,567","112,140","104,427"
울산광역시,　　　울주군,"219,428","113,614","105,814"
세종특별자치시,　　　세종시,"386,079","192,299","193,780"
경기도,　　　수원시,"1,196,864","602,159","594,705"
경기도,　　　성남시,"917,243","453,912","463,331"
경기도,　　　의정부시,"465,019","228,594","236,425"
경기도,　　　안양시,"544,083","268,810","275,273"
경기도,　　　부천시,"782,854","387,106","395,748"
경기도,　　　광명시,"280,270","137,577","142,693"
경기도,　　　평택시,"589,407","309,573","279,834"
경기도,　　　동두천시,"88,820","44,288","44,532"
경기도,　　　안산시,"632,291","323,884","308,407"
경기도,　　　고양시,"1,075,898","525,007","550,891"
경기도,　　　과천시,"81,143","39,806","41,337"
경기도,　　　구리시,"187,620","92,796","94,824"
